Dec 10 10:58:52.977 VTTY: Console port: waiting connection on tcp port 5004 for protocol IPv4 (FD 10)
Dec 10 10:58:52.981 slot0: C/H/S settings = 0/4/32
Dec 10 10:58:52.981 slot1: C/H/S settings = 0/4/32
Dec 10 10:58:53.205 C3745_BOOT: starting instance (CPU0 PC=0xffffffffbfc00000,idle_pc=0x0,JIT on)
Dec 10 10:58:53.205 CPU0: CPU_STATE: Starting CPU (old state=2)...
Dec 10 10:58:53.378 ROM: Microcode has started.
Dec 10 10:58:53.383 ROM: trying to read bootvar 'WARM_REBOOT'
Dec 10 10:58:53.385 CPU0: IO_FPGA: write to unknown addr 0x30, value=0x0, pc=0xffffffff80a76f68 (size=1)
Dec 10 10:58:53.385 CPU0: IO_FPGA: read from unknown addr 0x30, pc=0xffffffff80a76f7c (size=1)
Dec 10 10:58:53.462 CPU0: IO_FPGA: read from unknown addr 0x6, pc=0x6023fca4 (size=2)
Dec 10 10:58:53.463 CPU0: IO_FPGA: read from unknown addr 0x10000a, pc=0x602475a0 (size=2)
Dec 10 10:58:53.463 CPU0: IO_FPGA: write to unknown addr 0x10000a, value=0x0, pc=0x602475b0 (size=2)
Dec 10 10:58:53.463 ROM: unhandled syscall 0x00000047 at pc=0x60a786fc (a1=0x80007db4,a2=0x00000010,a3=0xbfb00000)
Dec 10 10:58:54.137 ROM: trying to read bootvar 'RANDOM_NUM'
Dec 10 10:58:54.159 CPU0: IO_FPGA: write to unknown addr 0x2e, value=0x20, pc=0x60254a54 (size=2)
Dec 10 10:58:54.160 CPU0: PCI: read request for device 'gt96100' at pc=0x60257978: bus=0,device=0,function=0,reg=0x00
Dec 10 10:58:54.160 CPU0: PCI: read request for device 'gt96100' at pc=0x6025797c: bus=0,device=0,function=0,reg=0x00
Dec 10 10:58:54.160 CPU0: PCI: read request for device 'gt96100' at pc=0x6025772c: bus=0,device=0,function=0,reg=0x08
Dec 10 10:58:54.160 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x60257874: bus=0,device=0,function=0,reg=0x10
Dec 10 10:58:54.160 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x60257878: bus=0,device=0,function=0,reg=0x10
Dec 10 10:58:54.160 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x60257874: bus=0,device=0,function=0,reg=0x90
Dec 10 10:58:54.160 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x60257878: bus=0,device=0,function=0,reg=0x90
Dec 10 10:58:54.160 CPU0: PCI: write request (data=0x10000000) for device 'gt96100' at pc=0x60257874: bus=0,device=0,function=0,reg=0x14
Dec 10 10:58:54.160 CPU0: PCI: write request (data=0x10000000) for device 'gt96100' at pc=0x60257878: bus=0,device=0,function=0,reg=0x14
Dec 10 10:58:54.160 CPU0: PCI: write request (data=0x10000000) for device 'gt96100' at pc=0x60257874: bus=0,device=0,function=0,reg=0x94
